id,h1,h2,init1,init2,dropout1,dropout2,optimizer,learning_rate,scores
21,48,32,he_uniform,he_uniform,0.2349093021256644,0.31980903978338826,adam,0.01,0.8177
22,48,8,he_uniform,he_uniform,0.22731169516342836,0.28468142182925776,adam,0.005,0.8149
23,48,48,glorot_uniform,he_uniform,0.21624430171958325,0.2856261058135517,adam,0.01,0.8364
24,16,16,glorot_uniform,he_uniform,0.17743203428013238,0.3098045977795613,sgd,0.005,0.6216
25,16,16,glorot_uniform,he_uniform,0.2418623535122116,0.19165752704504246,sgd,0.005,0.5521
26,16,32,he_uniform,he_uniform,0.2060328856480933,0.2392051390874635,sgd,0.005,0.5926
27,8,48,glorot_uniform,he_uniform,0.17818378423665704,0.2507545234218129,adam,0.01,0.523
28,16,8,he_uniform,he_uniform,0.20453964008715986,0.30123271801809104,sgd,0.01,0.5878
29,48,48,glorot_uniform,he_uniform,0.1912446011565404,0.35427520556630443,adam,0.01,0.8312
30,16,48,he_uniform,he_uniform,0.18283300165531224,0.1453767986607217,adam,0.01,0.6952
31,16,32,glorot_uniform,he_uniform,0.1849296157693996,0.25072228625089843,adam,0.005,0.7889
32,48,32,he_uniform,he_uniform,0.16621538193184127,0.3628226013722253,adam,0.01,0.8234
33,32,48,he_uniform,he_uniform,0.1965090268044135,0.34393763835424296,adam,0.005,0.8355
34,8,48,glorot_uniform,he_uniform,0.23606552346251494,0.3506868308437965,adam,0.005,0.504
35,8,32,glorot_uniform,he_uniform,0.2514419818984799,0.3507792070473882,adam,0.005,0.34299999999999997
36,48,16,glorot_uniform,he_uniform,0.2080803853538618,0.3357124883055035,adam,0.01,0.7957
37,8,16,he_uniform,he_uniform,0.2429041221755964,0.1314062557833233,adam,0.01,0.4937
38,8,16,he_uniform,he_uniform,0.2474640806016121,0.3350398047534514,adam,0.005,0.3266
39,8,16,glorot_uniform,he_uniform,0.17002212618445256,0.29878503626538283,adam,0.01,0.6622
40,16,48,glorot_uniform,he_uniform,0.1840607711227252,0.1855709494698894,adam,0.005,0.794
41,32,16,he_uniform,he_uniform,0.1804872987924181,0.3603936098883653,adam,0.01,0.8195
42,16,16,he_uniform,he_uniform,0.2279463383415825,0.1653409929222408,adam,0.005,0.7866
43,48,8,glorot_uniform,he_uniform,0.19702700671535667,0.3128445939790171,adam,0.005,0.797
44,16,48,glorot_uniform,he_uniform,0.2290277477283105,0.3462147026163519,adam,0.005,0.74
45,16,48,glorot_uniform,he_uniform,0.1619444540836457,0.2159304738624134,adam,0.01,0.7093
46,16,32,glorot_uniform,he_uniform,0.16670035942468106,0.18270101714770784,adam,0.005,0.8170000000000001
47,16,8,glorot_uniform,he_uniform,0.1893217589251905,0.17179837835461212,adam,0.01,0.7609999999999999
48,16,8,glorot_uniform,he_uniform,0.17418132678797704,0.1936972383537767,adam,0.005,0.7831
49,48,48,glorot_uniform,he_uniform,0.19985852204344298,0.3341310544931897,adam,0.01,0.8228
50,16,8,he_uniform,he_uniform,0.16592420397427687,0.3197230450433459,adam,0.005,0.6682
51,32,32,glorot_uniform,he_uniform,0.25187019228018825,0.2806519682843175,adam,0.01,0.7991
52,16,32,he_uniform,he_uniform,0.17076829475833902,0.24661737882489804,adam,0.01,0.7286
53,16,48,glorot_uniform,he_uniform,0.1855264226512569,0.2968601570269074,adam,0.005,0.6286
54,48,48,he_uniform,he_uniform,0.16514878152339196,0.34615944843853363,adam,0.005,0.8353
55,16,48,he_uniform,he_uniform,0.18636548106610745,0.2041199328529198,adam,0.01,0.6625
56,48,16,he_uniform,he_uniform,0.17953989076859378,0.3302975891857525,adam,0.01,0.797
57,48,8,he_uniform,he_uniform,0.16282228113275862,0.3409369128621233,adam,0.005,0.8161
58,48,32,glorot_uniform,he_uniform,0.24720076059782364,0.3540891568780173,adam,0.005,0.8256
59,16,48,he_uniform,he_uniform,0.23108851577542325,0.3291689440067931,adam,0.01,0.6511
60,48,48,he_uniform,he_uniform,0.24280028963462436,0.32387808645176297,adam,0.005,0.8413
61,48,48,he_uniform,he_uniform,0.25006331361530226,0.35553584715106606,adam,0.01,0.7926
62,32,32,glorot_uniform,he_uniform,0.17260944470273498,0.3595997004815148,adam,0.01,0.8204
63,16,48,glorot_uniform,he_uniform,0.2381182637679835,0.22892368382187986,adam,0.01,0.655
64,48,16,he_uniform,he_uniform,0.18023848983967736,0.3279715928879793,adam,0.005,0.8211
65,48,32,glorot_uniform,he_uniform,0.2447288755900884,0.2793607184294332,adam,0.005,0.8344
66,32,32,he_uniform,he_uniform,0.16474262144556387,0.28883886633769296,adam,0.005,0.815
67,16,48,glorot_uniform,he_uniform,0.2381845230960793,0.2671192540895533,adam,0.005,0.6948
68,16,48,glorot_uniform,he_uniform,0.23215629485575995,0.24172680846270705,adam,0.005,0.7315
69,16,32,glorot_uniform,he_uniform,0.16533028557239715,0.1343702338729189,adam,0.005,0.8303
70,16,32,glorot_uniform,he_uniform,0.2393996868633434,0.3005011231539453,adam,0.01,0.5642
71,16,32,glorot_uniform,he_uniform,0.16128046982763414,0.36123390519120624,adam,0.005,0.7347
72,48,48,he_uniform,he_uniform,0.16504927274992787,0.3141261552204784,adam,0.005,0.8435
73,16,48,he_uniform,he_uniform,0.1906496183331008,0.2797598593306613,adam,0.01,0.6975
74,16,32,he_uniform,he_uniform,0.2501061222119112,0.22080458009517126,adam,0.005,0.6993
75,16,48,glorot_uniform,he_uniform,0.20470756681584093,0.311415605843107,adam,0.01,0.6011
76,32,48,he_uniform,he_uniform,0.2271583528799692,0.3419651462655664,adam,0.005,0.8142
77,16,48,glorot_uniform,he_uniform,0.164845179892544,0.3047812787783608,adam,0.01,0.6658
78,16,48,glorot_uniform,he_uniform,0.19967476269664824,0.20789142292268825,adam,0.01,0.7492
79,16,32,glorot_uniform,he_uniform,0.1986212612154318,0.3522237215806117,adam,0.005,0.8134
80,32,48,glorot_uniform,he_uniform,0.17679840288808416,0.3533279019642678,adam,0.005,0.8329
81,32,48,he_uniform,he_uniform,0.1674817795603967,0.3024718664513578,adam,0.005,0.8326
82,32,16,glorot_uniform,he_uniform,0.17933229164951098,0.30878802618789597,adam,0.005,0.8237
83,48,32,glorot_uniform,he_uniform,0.2322304762191844,0.2958092756087195,adam,0.01,0.8168
84,32,16,he_uniform,he_uniform,0.16816066143062025,0.3332956310736013,adam,0.01,0.779
85,48,48,he_uniform,he_uniform,0.1730397525037718,0.30613133481539645,adam,0.01,0.8168
86,32,32,glorot_uniform,he_uniform,0.19682606420241444,0.3565901574791981,adam,0.01,0.8084
87,48,32,glorot_uniform,he_uniform,0.18860528902313475,0.35645772448860635,adam,0.005,0.8265
88,32,48,he_uniform,he_uniform,0.175140433552801,0.3379268473784965,adam,0.01,0.7922
89,48,48,he_uniform,he_uniform,0.18864384003878173,0.3253125841890551,adam,0.005,0.8314
90,16,48,glorot_uniform,he_uniform,0.2211565995511043,0.2979202582256591,adam,0.01,0.7328
91,32,32,glorot_uniform,he_uniform,0.16213308108181654,0.3468640109395407,adam,0.005,0.8373
92,16,48,he_uniform,he_uniform,0.21740672275164932,0.25350314805888463,adam,0.005,0.5862
93,32,48,glorot_uniform,he_uniform,0.2549760451694843,0.3047643324244973,adam,0.005,0.828
94,16,32,he_uniform,he_uniform,0.17063382548944436,0.1868663553725856,adam,0.005,0.8075
95,16,16,glorot_uniform,he_uniform,0.18160426959945625,0.29590214789053426,adam,0.005,0.7896
96,32,48,glorot_uniform,he_uniform,0.18045754988151091,0.32416992028280706,adam,0.01,0.8091
97,32,32,he_uniform,he_uniform,0.2082936645787773,0.30847696355530624,adam,0.005,0.8293
98,32,16,glorot_uniform,he_uniform,0.18094700904063826,0.3005581298582447,adam,0.01,0.8193
99,48,32,he_uniform,he_uniform,0.23868753722765615,0.3518609220134796,adam,0.005,0.8343
